"Pressure","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.54257,1,0,0,0.15,0
0.54257,1,0.00033333,0.00033333,0.15,0
0.54257,1,0.00066667,0.00066667,0.15,0
0.54257,1,0.001,0.001,0.15,0
0.54257,1,0.0013333,0.0013333,0.15,0
0.54257,1,0.0016667,0.0016667,0.15,0
0.54257,1,0.002,0.002,0.15,0
0.54257,1,0.0023333,0.0023333,0.15,0
0.54257,1,0.0026667,0.0026667,0.15,0
0.54257,1,0.003,0.003,0.15,0
0.54257,1,0.0033333,0.0033333,0.15,0
0.54257,1,0.0036667,0.0036667,0.15,0
0.54257,1,0.004,0.004,0.15,0
0.54257,1,0.0043333,0.0043333,0.15,0
0.54257,1,0.0046667,0.0046667,0.15,0
0.54257,1,0.005,0.005,0.15,0
0.54257,1,0.0053333,0.0053333,0.15,0
0.54257,1,0.0056667,0.0056667,0.15,0
0.54257,1,0.006,0.006,0.15,0
0.54257,1,0.0063333,0.0063333,0.15,0
0.54257,1,0.0066667,0.0066667,0.15,0
0.54257,1,0.007,0.007,0.15,0
0.54257,1,0.0073333,0.0073333,0.15,0
0.54257,1,0.0076667,0.0076667,0.15,0
0.54257,1,0.008,0.008,0.15,0
0.54257,1,0.0083333,0.0083333,0.15,0
0.54257,1,0.0086667,0.0086667,0.15,0
0.54257,1,0.009,0.009,0.15,0
0.54257,1,0.0093333,0.0093333,0.15,0
0.54257,1,0.0096667,0.0096667,0.15,0
0.54257,1,0.01,0.01,0.15,0
0.54257,1,0.010333,0.010333,0.15,0
0.54257,1,0.010667,0.010667,0.15,0
0.54257,1,0.011,0.011,0.15,0
0.54257,1,0.011333,0.011333,0.15,0
0.54257,1,0.011667,0.011667,0.15,0
0.54257,1,0.012,0.012,0.15,0
0.54257,1,0.012333,0.012333,0.15,0
0.54257,1,0.012667,0.012667,0.15,0
0.54257,1,0.013,0.013,0.15,0
0.54257,1,0.013333,0.013333,0.15,0
0.54257,1,0.013667,0.013667,0.15,0
0.54257,1,0.014,0.014,0.15,0
0.54257,1,0.014333,0.014333,0.15,0
0.54257,1,0.014667,0.014667,0.15,0
0.54257,1,0.015,0.015,0.15,0
0.54257,1,0.015333,0.015333,0.15,0
0.54257,1,0.015667,0.015667,0.15,0
0.54257,1,0.016,0.016,0.15,0
0.54257,1,0.016333,0.016333,0.15,0
0.45426,1,0.016667,0.016667,0.15,0
0.42819,1,0.017,0.017,0.15,0
0.42819,1,0.017333,0.017333,0.15,0
0.42819,1,0.017667,0.017667,0.15,0
0.42819,1,0.018,0.018,0.15,0
0.42819,1,0.018333,0.018333,0.15,0
0.42819,1,0.018667,0.018667,0.15,0
